"T1";"T21";"T22";"T23";"T31";"T32";"T41";"T42";"T51";"T52";"T61";"T62";"T71";"T72";"T81";"T82";"T83";"T84";"T85";"T86";"T87";"T88";"T89"
20;"1";"0";"0";"1";"1";"1101";"0110";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
18;"1";"1";"0";"0";"0";"0001";"0000";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0"
27;"1";"1";"0";"0";"0";"1100";"0000";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
12;"0";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"0";"0";"0";"1";"0";"0011";"0001";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0"
10;"1";"1";"0";"1";"1";"0011";"0011";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
4;"1";"0";"0";"0";"0";"0011";"0000";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0"
21;"1";"0";"0";"1";"0";"0010";"0000";"1";"0";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"0"
4;"0";"0";"0";"0";"0";"0000";"0000";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0"
1;"0";"0";"0";"0";"0";"1000";"0001";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
10;"1";"1";"1";"1";"1";"0001";"0000";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"1";"1";"1";"0";"0";"0100";"0000";"0";"0";"1";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0"
14;"1";"1";"0";"0";"0";"0011";"0001";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0"
0;"0";"0";"0";"1";"0";"0010";"0000";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
15;"1";"1";"0";"1";"1";"0010";"0000";"0";"0";"1";"0";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
24;"1";"1";"1";"1";"1";"1110";"0010";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"0";"1";"0"
